"統計名：","人口推計 2019年10月1日現在人口推計"
"表番号：","005"
"表題：","都道府県，男女別人口－総人口，日本人人口"
"実施年月：","2019年","10月"
"市区町村時点（年月日）：","-"

"***","　"
"-","該当数値がないもの　"

"","","","","","","","","/時間軸（年） コード","2019000000"
"表章項目 コード","表章項目","男女別 コード","男女別","人口 コード","人口","全国・都道府県 コード","全国・都道府県","/時間軸（年）","2019年"
"001","人口【千人】","000","男女計","001","総人口","00000","全国","","126,167"
"001","人口【千人】","000","男女計","001","総人口","01000","北海道","","5,250"
"001","人口【千人】","000","男女計","001","総人口","02000","青森県","","1,246"
"001","人口【千人】","000","男女計","001","総人口","03000","岩手県","","1,227"
"001","人口【千人】","000","男女計","001","総人口","04000","宮城県","","2,306"
"001","人口【千人】","000","男女計","001","総人口","05000","秋田県","","966"
"001","人口【千人】","000","男女計","001","総人口","06000","山形県","","1,078"
"001","人口【千人】","000","男女計","001","総人口","07000","福島県","","1,846"
"001","人口【千人】","000","男女計","001","総人口","08000","茨城県","","2,860"
"001","人口【千人】","000","男女計","001","総人口","09000","栃木県","","1,934"
"001","人口【千人】","000","男女計","001","総人口","10000","群馬県","","1,942"
"001","人口【千人】","000","男女計","001","総人口","11000","埼玉県","","7,350"
"001","人口【千人】","000","男女計","001","総人口","12000","千葉県","","6,259"
"001","人口【千人】","000","男女計","001","総人口","13000","東京都","","13,921"
"001","人口【千人】","000","男女計","001","総人口","14000","神奈川県","","9,198"
"001","人口【千人】","000","男女計","001","総人口","15000","新潟県","","2,223"
"001","人口【千人】","000","男女計","001","総人口","16000","富山県","","1,044"
"001","人口【千人】","000","男女計","001","総人口","17000","石川県","","1,138"
"001","人口【千人】","000","男女計","001","総人口","18000","福井県","","768"
"001","人口【千人】","000","男女計","001","総人口","19000","山梨県","","811"
"001","人口【千人】","000","男女計","001","総人口","20000","長野県","","2,049"
"001","人口【千人】","000","男女計","001","総人口","21000","岐阜県","","1,987"
"001","人口【千人】","000","男女計","001","総人口","22000","静岡県","","3,644"
"001","人口【千人】","000","男女計","001","総人口","23000","愛知県","","7,552"
"001","人口【千人】","000","男女計","001","総人口","24000","三重県","","1,781"
"001","人口【千人】","000","男女計","001","総人口","25000","滋賀県","","1,414"
"001","人口【千人】","000","男女計","001","総人口","26000","京都府","","2,583"
"001","人口【千人】","000","男女計","001","総人口","27000","大阪府","","8,809"
"001","人口【千人】","000","男女計","001","総人口","28000","兵庫県","","5,466"
"001","人口【千人】","000","男女計","001","総人口","29000","奈良県","","1,330"
"001","人口【千人】","000","男女計","001","総人口","30000","和歌山県","","925"
"001","人口【千人】","000","男女計","001","総人口","31000","鳥取県","","556"
"001","人口【千人】","000","男女計","001","総人口","32000","島根県","","674"
"001","人口【千人】","000","男女計","001","総人口","33000","岡山県","","1,890"
"001","人口【千人】","000","男女計","001","総人口","34000","広島県","","2,804"
"001","人口【千人】","000","男女計","001","総人口","35000","山口県","","1,358"
"001","人口【千人】","000","男女計","001","総人口","36000","徳島県","","728"
"001","人口【千人】","000","男女計","001","総人口","37000","香川県","","956"
"001","人口【千人】","000","男女計","001","総人口","38000","愛媛県","","1,339"
"001","人口【千人】","000","男女計","001","総人口","39000","高知県","","698"
"001","人口【千人】","000","男女計","001","総人口","40000","福岡県","","5,104"
"001","人口【千人】","000","男女計","001","総人口","41000","佐賀県","","815"
"001","人口【千人】","000","男女計","001","総人口","42000","長崎県","","1,327"
"001","人口【千人】","000","男女計","001","総人口","43000","熊本県","","1,748"
"001","人口【千人】","000","男女計","001","総人口","44000","大分県","","1,135"
"001","人口【千人】","000","男女計","001","総人口","45000","宮崎県","","1,073"
"001","人口【千人】","000","男女計","001","総人口","46000","鹿児島県","","1,602"
"001","人口【千人】","000","男女計","001","総人口","47000","沖縄県","","1,453"
"001","人口【千人】","000","男女計","002","日本人人口","00000","全国","","123,731"
"001","人口【千人】","000","男女計","002","日本人人口","01000","北海道","","5,211"
"001","人口【千人】","000","男女計","002","日本人人口","02000","青森県","","1,240"
"001","人口【千人】","000","男女計","002","日本人人口","03000","岩手県","","1,219"
"001","人口【千人】","000","男女計","002","日本人人口","04000","宮城県","","2,283"
