表章項目 コード,表章項目,調査年10 コード,調査年10,都道府県_005 コード,都道府県_005,/年次_043(人口10万対）,平成11年(1999年),平成14年(2002年),平成17年(2005年),平成20年(2008年),平成23年(2011年),平成26年(2014年),平成29年(2017年),平成30年(2018年),令和元年(2019年)（実数）,令和元年(2019年)（人口10万対）
50,病院数,2019000000,令和元年(2019年),1,全　国,,"9,286","9,187","9,026","8,794","8,605","8,493","8,412","8,372","8,300",6.6
50,病院数,2019000000,令和元年(2019年),2,北海道,,640,634,620,594,579,569,561,555,552,10.5
50,病院数,2019000000,令和元年(2019年),3,青　森,,113,110,109,105,102,97,94,95,94,7.5
50,病院数,2019000000,令和元年(2019年),4,岩　手,,110,109,107,98,92,91,93,93,91,7.4
50,病院数,2019000000,令和元年(2019年),5,宮　城,,149,149,151,146,141,142,140,139,138,6
50,病院数,2019000000,令和元年(2019年),6,秋　田,,82,80,78,78,75,72,69,69,68,7
50,病院数,2019000000,令和元年(2019年),7,山　形,,69,69,70,70,68,68,69,68,68,6.3
50,病院数,2019000000,令和元年(2019年),8,福　島,,156,152,147,145,130,128,128,128,126,6.8
50,病院数,2019000000,令和元年(2019年),9,茨　城,,215,208,205,192,183,181,176,173,173,6
50,病院数,2019000000,令和元年(2019年),10,栃　木,,115,118,118,113,109,109,107,106,106,5.5
50,病院数,2019000000,令和元年(2019年),11,群　馬,,144,144,143,139,133,129,130,130,130,6.7
50,病院数,2019000000,令和元年(2019年),12,埼　玉,,366,367,361,355,346,341,343,345,342,4.7
50,病院数,2019000000,令和元年(2019年),13,千　葉,,299,296,287,284,279,284,288,287,289,4.6
50,病院数,2019000000,令和元年(2019年),14,東　京,,684,681,667,648,643,642,647,647,638,4.6
50,病院数,2019000000,令和元年(2019年),15,神奈川,,363,361,356,348,344,342,338,340,336,3.7
50,病院数,2019000000,令和元年(2019年),16,新　潟,,138,141,139,137,130,131,129,128,127,5.7
50,病院数,2019000000,令和元年(2019年),17,富　山,,114,114,115,113,110,107,106,107,107,10.2
50,病院数,2019000000,令和元年(2019年),18,石　川,,120,114,109,102,101,97,94,94,94,8.3
50,病院数,2019000000,令和元年(2019年),19,福　井,,93,91,86,77,72,70,68,67,67,8.7
50,病院数,2019000000,令和元年(2019年),20,山　梨,,59,62,61,60,60,60,60,60,60,7.4
50,病院数,2019000000,令和元年(2019年),21,長　野,,140,141,137,137,133,131,129,128,127,6.2
50,病院数,2019000000,令和元年(2019年),22,岐　阜,,116,112,110,103,104,102,101,100,98,4.9
50,病院数,2019000000,令和元年(2019年),23,静　岡,,180,182,189,184,186,182,180,178,175,4.8
50,病院数,2019000000,令和元年(2019年),24,愛　知,,374,365,350,334,327,321,324,323,323,4.3
50,病院数,2019000000,令和元年(2019年),25,三　重,,118,117,113,108,102,102,98,94,93,5.2
50,病院数,2019000000,令和元年(2019年),26,滋　賀,,58,62,63,60,60,58,57,57,57,4
50,病院数,2019000000,令和元年(2019年),27,京　都,,186,182,177,177,175,174,169,167,165,6.4
50,病院数,2019000000,令和元年(2019年),28,大　阪,,575,566,552,541,534,530,521,517,513,5.8
50,病院数,2019000000,令和元年(2019年),29,兵　庫,,347,349,350,353,348,353,350,353,348,6.4
50,病院数,2019000000,令和元年(2019年),30,奈　良,,73,75,78,76,75,77,79,79,79,5.9
50,病院数,2019000000,令和元年(2019年),31,和歌山,,93,91,91,92,92,86,83,83,83,9
50,病院数,2019000000,令和元年(2019年),32,鳥　取,,44,46,45,46,45,45,44,44,43,7.7
50,病院数,2019000000,令和元年(2019年),33,島　根,,61,59,58,57,54,52,51,49,49,7.3
50,病院数,2019000000,令和元年(2019年),34,岡　山,,197,191,183,179,174,167,163,163,161,8.5
50,病院数,2019000000,令和元年(2019年),35,広　島,,269,267,261,256,249,244,242,240,237,8.5
50,病院数,2019000000,令和元年(2019年),36,山　口,,154,152,151,148,147,147,145,145,145,10.7
50,病院数,2019000000,令和元年(2019年),37,徳　島,,134,130,123,119,114,113,109,109,107,14.7
50,病院数,2019000000,令和元年(2019年),38,香　川,,114,107,105,96,93,90,89,89,88,9.2
50,病院数,2019000000,令和元年(2019年),39,愛　媛,,157,156,153,146,144,143,141,141,135,10.1
50,病院数,2019000000,令和元年(2019年),40,高　知,,148,144,141,140,137,130,129,126,124,17.8
50,病院数,2019000000,令和元年(2019年),41,福　岡,,489,485,478,468,467,460,462,460,459,9
50,病院数,2019000000,令和元年(2019年),42,佐　賀,,118,114,111,110,110,108,106,103,101,12.4
50,病院数,2019000000,令和元年(2019年),43,長　崎,,177,173,168,165,160,156,150,149,149,11.2
50,病院数,2019000000,令和元年(2019年),44,熊　本,,230,225,222,217,216,214,213,214,211,12.1
50,病院数,2019000000,令和元年(2019年),45,大　分,,161,164,165,165,160,158,157,157,155,13.7
50,病院数,2019000000,令和元年(2019年),46,宮　崎,,161,152,149,145,142,140,140,139,137,12.8
50,病院数,2019000000,令和元年(2019年),47,鹿児島,,290,285,279,274,265,256,246,241,241,15
50,病院数,2019000000,令和元年(2019年),48,沖　縄,,93,95,95,94,95,94,94,93,91,6.3
