表章項目 コード,表章項目,時間軸(年次) コード,時間軸(年次),/性別,総数,男,女
10010,人口【人】,2019000000,2019年,,"123,731,176","60,208,034","63,523,142"
10010,人口【人】,2018000000,2018年,,"124,218,285","60,454,898","63,763,387"
10010,人口【人】,2017000000,2017年,,"124,648,471","60,675,736","63,972,735"
10010,人口【人】,2016000000,2016年,,"125,020,252","60,866,773","64,153,479"
10010,人口【人】,2015000000,2015年,,"125,319,299","61,022,756","64,296,543"
10010,人口【人】,2014000000,2014年,,"125,431,000","61,041,000","64,391,000"
10010,人口【人】,2013000000,2013年,,"125,704,000","61,186,000","64,518,000"
10010,人口【人】,2012000000,2012年,,"125,957,000","61,328,000","64,630,000"
10010,人口【人】,2011000000,2011年,,"126,180,000","61,453,000","64,727,000"
10010,人口【人】,2010000000,2010年,,"126,381,728","61,571,727","64,810,001"
10010,人口【人】,2009000000,2009年,,"125,820,000","61,339,000","64,481,000"
10010,人口【人】,2008000000,2008年,,"125,947,000","61,424,000","64,523,000"
10010,人口【人】,2007000000,2007年,,"126,085,000","61,511,000","64,574,000"
10010,人口【人】,2006000000,2006年,,"126,154,000","61,568,000","64,586,000"
10010,人口【人】,2005000000,2005年,,"126,204,902","61,617,893","64,587,009"
10010,人口【人】,2004000000,2004年,,"126,176,000","61,597,000","64,579,000"
10010,人口【人】,2003000000,2003年,,"126,139,000","61,620,000","64,520,000"
10010,人口【人】,2002000000,2002年,,"126,008,000","61,591,000","64,417,000"
10010,人口【人】,2001000000,2001年,,"125,908,000","61,595,000","64,313,000"
10010,人口【人】,2000000000,2000年,,"125,612,633","61,488,005","64,124,628"
10010,人口【人】,1999000000,1999年,,"125,432,000","61,358,000","64,074,000"
10010,人口【人】,1998000000,1998年,,"125,252,000","61,311,000","63,941,000"
10010,人口【人】,1997000000,1997年,,"124,963,000","61,210,000","63,753,000"
10010,人口【人】,1996000000,1996年,,"124,709,000","61,115,000","63,594,000"
10010,人口【人】,1995000000,1995年,,"124,298,947","60,919,153","63,379,794"
10010,人口【人】,1994000000,1994年,,"124,069,000","60,839,000","63,230,000"
10010,人口【人】,1993000000,1993年,,"123,788,000","60,730,000","63,057,000"
10010,人口【人】,1992000000,1992年,,"123,476,000","60,597,000","62,879,000"
10010,人口【人】,1991000000,1991年,,"123,102,000","60,425,000","62,677,000"
10010,人口【人】,1990000000,1990年,,"122,721,397","60,248,969","62,472,428"
10010,人口【人】,1989000000,1989年,,"122,460,000","60,171,000","62,289,000"
10010,人口【人】,1988000000,1988年,,"122,026,000","59,964,000","62,062,000"
10010,人口【人】,1987000000,1987年,,"121,535,000","59,723,000","61,811,000"
10010,人口【人】,1986000000,1986年,,"120,946,000","59,438,000","61,508,000"
10010,人口【人】,1985000000,1985年,,"120,265,700","59,044,000","61,221,700"
10010,人口【人】,1984000000,1984年,,"119,523,000","58,793,000","60,730,000"
10010,人口【人】,1983000000,1983年,,"118,786,000","58,435,000","60,352,000"
10010,人口【人】,1982000000,1982年,,"118,008,000","58,053,000","59,955,000"
10010,人口【人】,1981000000,1981年,,"117,204,000","57,654,000","59,551,000"
10010,人口【人】,1980000000,1980年,,"116,320,358","57,201,287","59,119,071"
10010,人口【人】,1979000000,1979年,,"115,465,000","56,837,000","58,628,000"
10010,人口【人】,1978000000,1978年,,"114,511,000","56,362,000","58,149,000"
10010,人口【人】,1977000000,1977年,,"113,499,000","55,860,000","57,639,000"
10010,人口【人】,1976000000,1976年,,"112,420,000","55,334,000","57,086,000"
10010,人口【人】,1975000000,1975年,,"111,251,507","54,724,867","56,526,640"
10010,人口【人】,1974000000,1974年,,"109,410,000","53,678,000","55,732,000"
10010,人口【人】,1973000000,1973年,,"108,079,000","53,001,000","55,078,000"
10010,人口【人】,1972000000,1972年,,"105,742,000","51,848,000","53,894,000"
10010,人口【人】,1971000000,1971年,,"104,345,000","51,225,000","53,120,000"
10010,人口【人】,1970000000,1970年,,"103,119,447","50,600,539","52,518,908"
10010,人口【人】,1969000000,1969年,,"102,022,000","50,103,000","51,919,000"
10010,人口【人】,1968000000,1968年,,"100,794,000","49,480,000","51,315,000"
10010,人口【人】,1967000000,1967年,,"99,637,000","48,899,000","50,738,000"
10010,人口【人】,1966000000,1966年,,"99,056,000","48,628,000","50,429,000"
10010,人口【人】,1965000000,1965年,,"98,274,961","48,244,445","50,030,516"
10010,人口【人】,1964000000,1964年,,"97,186,000","47,744,000","49,443,000"
10010,人口【人】,1963000000,1963年,,"96,156,000","47,230,000","48,925,000"
10010,人口【人】,1962000000,1962年,,"95,178,000","46,744,000","48,434,000"
10010,人口【人】,1961000000,1961年,,"94,285,000","46,304,000","47,981,000"
10010,人口【人】,1960000000,1960年,,"93,418,501","45,877,602","47,540,899"
10010,人口【人】,1959000000,1959年,,"92,971,000","45,707,000","47,264,000"
10010,人口【人】,1958000000,1958年,,"92,010,000","45,230,000","46,781,000"
10010,人口【人】,1957000000,1957年,,"91,088,000","44,771,000","46,317,000"
10010,人口【人】,1956000000,1956年,,"90,259,000","44,355,000","45,903,000"
10010,人口【人】,1955000000,1955年,,"89,275,529","43,860,718","45,414,811"
10010,人口【人】,1954000000,1954年,,"88,293,000","43,379,000","44,914,000"
10010,人口【人】,1953000000,1953年,,"87,033,000","42,749,000","44,284,000"
10010,人口【人】,1952000000,1952年,,"85,852,000","42,148,000","43,704,000"
10010,人口【人】,1951000000,1951年,,"84,573,000","41,494,000","43,079,000"
10010,人口【人】,1950000000,1950年,,"83,199,637","40,811,760","42,387,877"
10010,人口【人】,1949000000,1949年,,"81,772,600","40,062,700","41,709,900"
10010,人口【人】,1948000000,1948年,,"80,002,500","39,129,900","40,872,500"
10010,人口【人】,1947000000,1947年,,"78,101,473","38,129,399","39,972,074"
10010,人口【人】,1946000000,1946年,,"73,114,100","34,904,600","38,209,500"
